Li and Zhu 2008 - Generalized Stochastic Workflow net-based quantitative analysis of business process performance.pdf;;;;;;;
Metric,How it is used in the text,Evidence in the text  ;;;;;;;
Time performance measure,Generic performance dimension that the paper proposes to quantify in business processes and that motivates the whole study.,“…the quantitative analysis of the time performance measure is pivotal to guarantee the validity of process model and to improve its quality.” (Abstract)  ;;;;;;;
Time performance indices,Indicators that up to now were mainly obtained by simulation;" the paper proposes an analytical alternative.,""“…there is still no powerful and convenient quantitative method to compute the time performance indices of business process, which are often obtained by simulation yet [2].” (Introduction)  """;;;;;;
"Time constraints,One of the three kinds of dynamic information that have to be analysed in BPA.,""“In general, there are three types of dynamic running process information need to be collected and analyzed, which are the time constraints, the utilization efficiency of the resources and the time performance [2].” (Introduction)  """;;;;;;;
Utilization efficiency of the resources,Another of the three classical BPA dimensions mentioned; used to position the paper with regard to related work.,Same sentence as above.  ;;;;;;
Mean flow time / Average flow time / Mean throughout time (T),Main quantitative indicator computed with the proposed method;" equals the expected total sojourn time of a workflow instance.,""“One of the important time performance measures of business process model is its mean flow time T, that is, the mean throughout time of all workflow instances.” (Section III)  """;;;;;;
"Throughput time,Alternative name used for the same concept of mean flow time.,""“…to compute the throughput time of workflow.” (Introduction, citing related work)  """;;;;;;;
"Average token number (N),Variable needed in Little’s Rule to obtain the mean flow time.,""“It can be calculated according to the Little rule [10],  ，where  N  is the average token number of the Petri net system in its stabile state.” (Section III)  """;;;;;;;
Mean arrival rate / Mean number of tokens entering the net per unit time (λ or  μ̄ ),Second variable required by Little’s Rule together with  N.,“λ  is the mean number of tokens entering into the net system in every unit time.” (Section III)  ;;;;;;;
Sojourning / Residence time of a marking (mi),Expected time a token spends in a tangible marking;" used to obtain the mean flow time.,""“…the mean residence time of Mi is denoted as  mi , then: …” (Equation 1, Section II)  """;;;;;;
Kandil and El-Deeb 2016 - Exploration of application migration to cloud environment.pdf;;;;;;;
Metric,How it is used / What it represents in the paper,Evidence excerpt from the text  ;;;;;;;
"Total Throughput (bytes),""Amount of data (in bytes) received from the server during the whole test window";" compared across on-premise, private and public cloud to evaluate data-transfer capability."",""""""Total Throughput (bytes): Displays the amount of data received from the server.""""  """;;;;;;
Average Throughput (bytes/second),Average rate of data received from the server each second;" used to judge sustained bandwidth under load across the three deployment options.,""""""Average Throughput (bytes / second): Displays the amount of data received from the server at any given second.""""  """;;;;;;
