Schwaiger and Abmayer 2013 - Accounting and Management Information Systems - A Semantic Integration.pdf
Not valid csv text, check the article
Li and Zhu 2008 - Generalized Stochastic Workflow net-based quantitative analysis of business process performance.pdf
ModeloIndicador,TipoUso,TrechoCorroboracao
Mean Flow Time / Throughput Time,Usado para construir medidor,"“One of the important time performance measures of business process model is its mean flow time T, that is, the mean throughout time of all workflow instances. It can be calculated according to the Little rule …”"
Time Constraints,Apenas citado,"“… there are three types of dynamic running process information need to be collected and analyzed, which are the time constraints, the utilization efficiency of the resources and the time performance [2].”"
Utilization Efficiency of Resources,Apenas citado,"“… there are three types of dynamic running process information need to be collected and analyzed, which are the time constraints, the utilization efficiency of the resources and the time performance [2].”"
Kandil and El-Deeb 2016 - Exploration of application migration to cloud environment.pdf
indicador,tipo_uso,trecho_corroboracao
Total Throughput (bytes),usado para construir medidores,"“Two groups of performance measures are measured, Group 1: 1. Total Throughput (bytes): Displays the amount of data received from the server.”"
Total Hits,usado para construir medidores,“Group 1: 2. Total Hits: Displays the number of requests sent to the server during the load test.”
Average Transaction Response Time,usado para construir medidores,“Group 1: 3. Average Transaction Response Time: Displays the average time to perform transactions during each second of the load test.”
Average Throughput (bytes / second),usado para construir medidores,“Group 1: 4. Average Throughput (bytes / second): Displays the amount of data received from the server at any given second.”
Average Hits per second,usado para construir medidores,“Group 1: 5. Average Hits per second: Displays the number of requests per second sent to the server during the load test.”
CPU used by this session,usado para construir medidores,“Group 2: 1. CPU used by this session: is the amount of CPU time … used by a session between when a user call started and ended.”
DB time,usado para construir medidores,“Group 2: 2. DB time: is the amount of elapsed time … spent performing Database user-level calls.”
Bytes received via SQL*Net from client,usado para construir medidores,“Group 2: 3. Bytes received via SQL*Net from client: is the total number of bytes received from the client over SQL*Net.”
Bytes sent via SQL*Net to client,usado para construir medidores,“Group 2: 4. Bytes sent via SQL*Net to client: is the total number of bytes sent to the client from the foreground processes.”
Performance,apenas citado,"“Transaction processing system features such as Performance, Continuous availability, Data integrity, Ease of use, Modular growth [2].”"
